"x","y","p"
88,33,0
88,34,5
88,35,5
88,36,3
88,37,1
88,38,2
88,39,0
88,40,0
88,41,5
88,42,4
88,43,5
88,44,5
88,45,5
88,46,4
88,47,4
88,48,5
88,49,3
88,50,5
88,51,1
88,52,1
88,53,1
88,54,2
88,55,4
88,56,5
88,57,5
88,58,0
88,59,0
88,60,5
88,61,5
88,62,0
88,63,0
88,64,1
88,65,1
88,66,2
88,67,1
88,68,1
88,69,1
88,70,5
88,71,5
88,72,0
88,73,0
88,74,1
88,75,0
88,76,0
88,77,1
88,78,5
88,79,4
88,80,4
88,81,4
88,82,0
88,83,0
88,84,0
88,85,0
88,86,0
88,87,0
88,88,0
88,89,0
88,90,0
88,91,0
88,92,0
88,93,0
88,94,0
88,95,0
88,96,0
88,97,0
88,98,0
88,99,0
88,100,0
88,101,0
88,102,0
88,103,0
88,104,0
88,105,0
88,106,0
88,107,0
88,108,0
88,109,4
88,110,3
88,111,4
88,112,4
88,113,5
88,114,5
88,115,4
88,116,4
88,117,4
88,118,4
88,119,5
89,26,4
89,27,4
89,28,5
89,29,5
89,30,4
89,31,3
89,32,5
89,33,3
89,34,3
89,35,4
89,36,3
89,37,1
89,38,2
89,39,0
89,40,0
89,41,0
89,42,5
89,43,5
89,44,5
89,45,4
89,46,4
89,47,5
89,48,4
89,49,5
89,50,3
89,51,0
89,52,1
89,53,2
89,54,5
89,55,0
89,56,0
89,57,1
89,58,1
89,59,2
89,60,2
89,61,5
89,62,5
89,63,2
89,64,2
89,65,3
89,66,2
89,67,1
89,68,0
89,69,3
89,70,5
89,71,5
89,72,0
89,73,0
89,74,0
89,75,0
89,76,1
89,77,5
89,78,5
89,79,0
89,80,0
89,81,0
89,82,0
89,83,0
89,84,0
89,85,0
89,86,0
89,87,0
89,88,0
89,89,0
89,90,0
89,91,0
89,92,0
89,93,0
89,94,0
89,95,0
89,96,0
89,97,0
89,98,0
89,99,0
89,100,0
89,101,0
89,102,0
89,103,0
89,104,0
89,105,0
89,106,0
89,107,0
89,108,0
89,109,3
89,110,5
89,111,5
89,112,4
89,113,4
89,114,5
89,115,5
89,116,0
89,117,0
89,118,0
89,119,4
90,26,3
90,27,4
90,28,5
90,29,4
90,30,4
90,31,4
90,32,5
90,33,4
90,34,3
90,35,4
90,36,4
90,37,0
90,38,0
90,39,0
90,40,0
90,41,0
90,42,3
90,43,4
90,44,4
90,45,5
90,46,5
90,47,0
90,48,0
90,49,5
90,50,5
90,51,5
90,52,5
90,53,1
90,54,1
90,55,1
90,56,3
90,57,4
90,58,2
90,59,4
90,60,3
90,61,2
90,62,5
90,63,5
90,64,0
90,65,3
90,66,1
90,67,0
90,68,0
90,69,5
90,70,0
90,71,0
90,72,0
90,73,0
90,74,0
90,75,0
90,76,0
90,77,3
90,78,5
90,79,5
90,80,1
90,81,0
90,82,0
90,83,0
90,84,0
90,85,0
90,86,0
