"hour","x","y","twitter","instagram"
10,119,79,0,1
10,120,68,0,1
10,120,78,1,3
10,120,86,0,1
10,121,78,0,1
10,121,79,0,1
10,121,80,0,3
10,121,87,0,1
10,121,106,0,1
10,122,78,0,1
10,122,80,0,2
10,122,83,0,1
10,123,58,0,1
10,123,77,0,1
10,124,70,0,1
10,124,74,0,2
10,124,81,0,1
10,125,90,3,0
10,126,58,0,1
10,126,80,0,1
10,127,58,0,1
10,128,60,0,2
10,128,76,0,1
10,128,77,0,1
10,128,79,0,1
10,129,61,0,1
10,129,68,0,1
10,129,69,0,3
10,129,80,0,1
10,129,91,0,1
10,129,111,1,0
10,131,67,0,1
10,131,72,0,7
10,131,73,4,36
10,131,75,1,2
10,131,76,0,1
10,131,80,0,2
10,131,81,1,22
10,131,82,0,1
10,132,55,0,1
10,132,65,0,1
10,132,67,0,1
10,132,69,0,1
10,132,70,0,2
10,132,73,1,7
10,132,74,0,4
10,132,76,0,3
10,132,80,0,1
10,133,58,0,1
10,133,76,0,1
10,133,81,0,1
10,133,85,0,1
10,134,58,0,1
10,134,64,0,5
10,134,69,0,1
10,134,71,0,1
10,134,72,1,2
10,134,83,1,0
10,134,87,0,1
10,134,95,0,1
10,135,49,0,1
10,135,57,0,1
10,135,59,0,1
10,135,63,0,1
10,135,66,0,6
10,135,72,0,2
10,135,73,0,2
10,135,74,0,2
10,135,75,1,1
10,135,76,0,7
10,135,77,0,1
10,135,85,0,1
10,136,39,0,1
10,136,67,0,1
10,136,68,0,10
10,136,70,1,6
10,136,71,0,1
10,136,72,1,5
10,136,73,0,2
10,136,74,0,1
10,136,77,0,1
10,136,79,0,2
10,136,87,0,1
10,136,89,0,1
10,137,63,0,1
10,137,66,1,3
10,137,69,0,1
10,137,71,0,1
10,137,75,0,1
10,138,59,0,1
10,138,60,0,2
10,138,62,0,1
10,138,66,0,3
10,138,67,0,7
10,138,71,0,1
10,138,72,0,7
10,138,79,7,164
10,139,57,0,1
10,139,62,1,0
10,139,63,0,1
10,139,67,0,1
10,139,68,0,1
10,139,70,0,1
10,139,71,3,0
10,139,75,0,1
10,140,53,0,1
10,140,61,0,1
10,140,63,0,1
10,140,66,0,4
10,140,70,1,2
10,140,71,0,1
10,140,80,0,1
10,141,58,0,1
10,141,60,0,2
10,141,62,0,5
10,141,67,0,7
10,141,70,0,6
10,141,72,0,1
10,141,74,1,0
10,141,78,0,1
10,142,51,0,1
10,142,64,0,2
10,142,66,0,2
10,142,82,0,1
10,142,85,3,0
10,143,70,0,1
10,143,75,1,5
10,143,77,0,1
10,143,79,0,13
10,143,80,0,1
10,143,83,1,1
