"hour","x","y","twitter","instagram"
11,128,72,1,2
11,128,73,0,1
11,128,79,0,1
11,128,80,0,1
11,129,64,0,1
11,129,69,0,2
11,129,76,0,2
11,129,77,0,1
11,130,68,0,1
11,130,71,0,1
11,130,73,0,1
11,130,76,0,1
11,131,67,0,1
11,131,68,0,1
11,131,72,2,10
11,131,73,3,7
11,131,74,0,1
11,131,76,0,3
11,132,66,0,1
11,132,72,1,0
11,132,73,0,2
11,132,74,1,22
11,132,76,0,1
11,132,85,0,1
11,133,71,0,1
11,133,76,0,1
11,133,77,0,3
11,133,85,0,1
11,134,67,1,3
11,134,69,0,3
11,134,70,0,1
11,134,72,0,1
11,134,73,0,1
11,134,83,1,0
11,134,87,0,2
11,134,95,0,1
11,135,66,0,1
11,135,71,0,4
11,135,72,1,0
11,135,73,1,3
11,135,74,0,1
11,135,75,0,1
11,135,76,0,1
11,135,77,0,2
11,135,95,0,1
11,136,50,0,1
11,136,64,0,1
11,136,67,0,1
11,136,70,0,1
11,136,72,1,2
11,136,74,0,1
11,136,79,0,13
11,136,89,0,1
11,137,65,0,2
11,137,70,1,2
11,137,71,0,1
11,137,76,0,7
11,137,78,1,1
11,137,79,0,1
11,137,86,1,0
11,137,105,0,1
11,138,55,0,1
11,138,57,0,1
11,138,61,1,0
11,138,64,0,1
11,138,67,0,4
11,138,69,1,2
11,138,71,0,3
11,138,72,0,7
11,138,73,0,1
11,138,79,7,140
11,138,80,0,1
11,138,99,0,1
11,139,66,1,0
11,139,67,0,1
11,139,71,6,1
11,139,72,0,2
11,139,75,0,1
11,140,61,1,0
11,140,65,1,1
11,140,67,0,1
11,140,68,0,1
11,140,70,0,6
11,140,71,1,1
11,140,78,0,1
11,141,54,0,1
11,141,67,0,1
11,141,70,0,7
11,141,73,1,0
11,141,78,0,1
11,142,63,0,1
11,142,67,1,0
11,143,63,1,1
11,143,64,0,1
11,143,79,0,12
11,143,81,0,1
11,144,41,0,1
11,144,60,1,0
11,144,70,0,1
11,144,85,0,4
11,145,78,0,1
11,145,83,0,1
11,145,85,0,2
11,146,64,0,2
11,146,67,0,2
11,146,82,1,0
11,146,88,0,1
11,147,79,1,0
11,147,86,1,1
11,147,93,0,1
11,147,94,0,1
11,148,79,0,2
11,148,83,0,1
11,148,87,1,1
11,148,89,0,1
11,148,94,0,1
11,149,75,0,1
11,149,77,1,1
11,149,78,0,1
11,149,80,0,1
11,149,90,0,1
11,150,77,0,1
11,150,78,2,7
11,150,80,0,1
11,150,85,0,1
11,152,73,0,1
11,152,74,0,1
11,152,75,0,2
11,152,91,0,1
11,153,73,0,1
11,154,71,0,1
11,155,71,0,4
11,155,110,0,1
11,156,75,0,1
11,157,77,0,1
11,161,68,0,1
11,162,66,0,1
11,164,73,1,1
11,165,56,0,1
11,168,63,0,1
11,169,98,0,1
11,174,108,0,1
11,185,98,0,1
11,186,116,0,1
11,187,68,1,0
11,195,74,0,1
11,196,59,0,1
12,84,77,0,1
12,90,108,0,1
12,94,76,0,3
12,94,110,1,0
12,94,113,0,1
12,95,83,0,1
12,100,111,1,0
12,101,80,0,1
12,101,89,1,0
12,102,95,0,1
12,107,57,0,2
12,107,58,0,2
12,109,73,0,7
12,109,78,0,1
12,110,74,0,1
12,110,80,0,1
12,111,81,0,2
12,112,74,0,1
12,113,76,0,1
12,114,76,0,5
12,115,85,1,0
12,116,37,1,0
12,116,72,1,0
12,116,75,0,1
12,116,82,0,1
12,117,80,0,1
12,117,84,0,2
12,117,87,0,1
12,117,90,0,1
12,117,100,0,1
12,118,51,0,1
12,118,75,0,1
12,118,80,0,3
12,118,100,0,1
12,119,71,1,1
12,119,78,0,5
12,119,79,0,2
12,119,87,0,1
12,120,70,0,1
12,120,79,0,1
12,120,80,0,1
12,121,77,0,3
12,121,78,0,3
12,121,94,0,1
12,122,80,0,1
12,123,52,0,1
12,123,59,0,3
